basket_id,stock_position,symbol,ticker,company_name,sector,basket_avg_pairwise_corr,basket_sector_count
19,2,INDHOTEL,INDHOTEL.NS,Indian Hotels Co. Ltd.,Consumer Services,0.22775739999166275,5
19,3,BIOCON,BIOCON.NS,Biocon Ltd.,Healthcare,0.22775739999166275,5
19,4,HINDZINC,HINDZINC.NS,Hindustan Zinc Ltd.,Metals & Mining,0.22775739999166275,5
19,5,BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components,0.22775739999166275,5
20,1,BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,0.22660708118143194,5
20,2,COCHINSHIP,COCHINSHIP.NS,Cochin Shipyard Ltd.,Capital Goods,0.22660708118143194,5
20,3,TATAELXSI,TATAELXSI.NS,Tata Elxsi Ltd.,Information Technology,0.22660708118143194,5
20,4,COALINDIA,COALINDIA.NS,Coal India Ltd.,Oil Gas & Consumable Fuels,0.22660708118143194,5
20,5,OBEROIRLTY,OBEROIRLTY.NS,Oberoi Realty Ltd.,Realty,0.22660708118143194,5
21,1,SHRIRAMFIN,SHRIRAMFIN.NS,Shriram Finance Ltd.,Financial Services,0.24195405119447266,5
21,2,JSWENERGY,JSWENERGY.NS,JSW Energy Ltd.,Power,0.24195405119447266,5
21,3,JUBLFOOD,JUBLFOOD.NS,Jubilant Foodworks Ltd.,Consumer Services,0.24195405119447266,5
21,4,BDL,BDL.NS,Bharat Dynamics Ltd.,Capital Goods,0.24195405119447266,5
21,5,HINDPETRO,HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,0.24195405119447266,5
22,1,HDFCBANK,HDFCBANK.NS,HDFC Bank Ltd.,Financial Services,0.24624291514782168,5
22,2,NHPC,NHPC.NS,NHPC Ltd.,Power,0.24624291514782168,5
22,3,TRENT,TRENT.NS,Trent Ltd.,Consumer Services,0.24624291514782168,5
22,4,CUMMINSIND,CUMMINSIND.NS,Cummins India Ltd.,Capital Goods,0.24624291514782168,5
22,5,DIXON,DIXON.NS,Dixon Technologies (India) Ltd.,Consumer Durables,0.24624291514782168,5
23,1,SBICARD,SBICARD.NS,SBI Cards and Payment Services Ltd.,Financial Services,0.25011286444111697,5
23,2,ADANIPOWER,ADANIPOWER.NS,Adani Power Ltd.,Power,0.25011286444111697,5
23,3,HAL,HAL.NS,Hindustan Aeronautics Ltd.,Capital Goods,0.25011286444111697,5
23,4,SHREECEM,SHREECEM.NS,Shree Cement Ltd.,Construction Materials,0.25011286444111697,5
23,5,LODHA,LODHA.NS,Lodha Developers Ltd.,Realty,0.25011286444111697,5
24,1,CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services,0.2630369876475978,5
24,2,NTPC,NTPC.NS,NTPC Ltd.,Power,0.2630369876475978,5
24,3,HAVELLS,HAVELLS.NS,Havells India Ltd.,Consumer Durables,0.2630369876475978,5
24,4,RVNL,RVNL.NS,Rail Vikas Nigam Ltd.,Construction,0.2630369876475978,5
24,5,ADANIENT,ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,0.2630369876475978,5
25,1,INDUSINDBK,INDUSINDBK.NS,IndusInd Bank Ltd.,Financial Services,0.2714029367009304,5
25,2,BEL,BEL.NS,Bharat Electronics Ltd.,Capital Goods,0.2714029367009304,5
25,3,TVSMOTOR,TVSMOTOR.NS,TVS Motor Company Ltd.,Automobile and Auto Components,0.2714029367009304,5
25,4,VEDL,VEDL.NS,Vedanta Ltd.,Metals & Mining,0.2714029367009304,5
25,5,TATACONSUM,TATACONSUM.NS,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,0.2714029367009304,5
26,1,INDIANB,INDIANB.NS,Indian Bank,Financial Services,0.26770792156136836,5
26,2,EICHERMOT,EICHERMOT.NS,Eicher Motors Ltd.,Automobile and Auto Components,0.26770792156136836,5
26,3,NATIONALUM,NATIONALUM.NS,National Aluminium Co. Ltd.,Metals & Mining,0.26770792156136836,5
