ticker,token,company_name,series
POWERINDIA.NS,18457,Hitachi Energy India Ltd.,EQ
PREMIERENE.NS,25049,Premier Energies Ltd.,EQ
PRESTIGE.NS,20302,Prestige Estates Projects Ltd.,EQ
RADICO.NS,10990,Radico Khaitan Ltd,EQ
RECLTD.NS,15355,REC Ltd.,EQ
RELIANCE.NS,2885,Reliance Industries Ltd.,EQ
RVNL.NS,9552,Rail Vikas Nigam Ltd.,EQ
SAIL.NS,2963,Steel Authority of India Ltd.,EQ
SBICARD.NS,17971,SBI Cards and Payment Services Ltd.,EQ
SBILIFE.NS,21808,SBI Life Insurance Company Ltd.,EQ
SBIN.NS,3045,State Bank of India,EQ
SHREECEM.NS,3103,Shree Cement Ltd.,EQ
SHRIRAMFIN.NS,4306,Shriram Finance Ltd.,EQ
SIEMENS.NS,3150,Siemens Ltd.,EQ
SOLARINDS.NS,13332,Solar Industries India Ltd.,EQ
SRF.NS,3273,SRF Ltd.,EQ
SUNPHARMA.NS,3351,Sun Pharmaceutical Industries Ltd.,EQ
SUPREMEIND.NS,3363,Supreme Industries Ltd.,EQ
SUZLON.NS,12018,Suzlon Energy Ltd.,EQ
SWIGGY.NS,27066,Swiggy Ltd.,EQ
TATACAP.NS,759265,Tata Capital Ltd.,EQ
TATACOMM.NS,3721,Tata Communications Ltd.,EQ
TATACONSUM.NS,3432,Tata Consumer Products Ltd.,EQ
TATAELXSI.NS,3411,Tata Elxsi Ltd.,EQ
TATAINVEST.NS,1621,Tata Investment Corporation Ltd.,EQ
TATAPOWER.NS,3426,Tata Power Co. Ltd.,EQ
TATASTEEL.NS,3499,Tata Steel Ltd.,EQ
TCS.NS,11536,Tata Consultancy Services Ltd.,EQ
TECHM.NS,13538,Tech Mahindra Ltd.,EQ
TIINDIA.NS,312,Tube Investments of India Ltd.,EQ
TITAN.NS,3506,Titan Company Ltd.,EQ
TMCV.NS,759782,Tata Motors Ltd.,EQ
TMPV.NS,3456,Tata Motors Passenger Vehicles Ltd.,EQ
TORNTPHARM.NS,3518,Torrent Pharmaceuticals Ltd.,EQ
TRENT.NS,1964,Trent Ltd.,EQ
TVSMOTOR.NS,8479,TVS Motor Company Ltd.,EQ
ULTRACEMCO.NS,11532,UltraTech Cement Ltd.,EQ
UNIONBANK.NS,10753,Union Bank of India,EQ
UNITDSPR.NS,10447,United Spirits Ltd.,EQ
UPL.NS,11287,UPL Ltd.,EQ
VBL.NS,18921,Varun Beverages Ltd.,EQ
VEDL.NS,3063,Vedanta Ltd.,EQ
VMM.NS,27969,Vishal Mega Mart Ltd.,EQ
VOLTAS.NS,3718,Voltas Ltd.,EQ
WAAREEENER.NS,25907,Waaree Energies Ltd.,EQ
WIPRO.NS,3787,Wipro Ltd.,EQ
YESBANK.NS,11915,Yes Bank Ltd.,EQ
ZYDUSLIFE.NS,7929,Zydus Lifesciences Ltd.,EQ
